name	gender	span1	span2	hand	fold	pulse	clap	exercise	smokes	height	m.i	age
C.4257	Alyson	female	18.5	18	right	right	92	left	some	never	173	metric	18.25
B.1335	Todd	male	19.5	20.5	left	right	104	left	none	regul	177.8	imperial	17.583
B.6142	Gerald	male	18	13.3	right	left	87	neither	none	occas	NA	NA	16.917
A.4944	Robert	male	18.8	18.9	right	right	NA	neither	none	never	160	metric	20.333
C.7426	Dustin	male	20	20	right	neither	35	right	some	never	165	metric	23.667
B.188	Abby	female	18	17.7	right	left	64	right	some	never	172.72	imperial	21
C.8633	Andre	male	17.7	17.7	right	left	83	right	freq	never	182.88	imperial	18.833
B.5265	Michael	female	17	17.3	right	right	74	right	freq	never	157	metric	35.833
E.8194	Edward	male	20	19.5	right	right	72	right	some	never	175	metric	19
C.4680	Carl	male	18.5	18.5	right	right	90	right	some	never	167	metric	22.333
D.5353	Noemi	female	17	17.2	right	left	80	right	freq	never	156.2	imperial	28.5
B.464	Alfred	male	21	21	right	right	68	left	freq	never	NA	NA	18.25
A.8899	Bernice	female	16	16	right	left	NA	right	some	never	155	metric	18.75
E.2576	Velma	female	19.5	20.2	right	left	66	neither	some	never	155	metric	17.5
C.8320	Eddie	male	16	15.5	right	right	60	right	some	never	NA	NA	17.167
C.7863	Fern	female	17.5	17	right	right	NA	right	freq	never	156	metric	17.167
A.4954	Carolyn	female	18	18	right	left	89	neither	freq	never	157	metric	19.333
B.3350	Virgil	male	19.4	19.2	left	right	74	right	some	never	182.88	imperial	18.333
C.625	Ken	male	20.5	20.5	right	left	NA	left	some	never	190.5	imperial	19.75
A.7133	Richard	male	21	20.9	right	right	78	right	freq	never	177	metric	17.917
C.6002	Virgil	male	21.5	22	right	right	72	left	freq	never	190.5	imperial	17.917
E.1475	Troy	male	20.1	20.7	right	left	72	right	freq	never	180.34	imperial	18.167
B.1185	Charlie	male	18.5	18	right	left	64	right	freq	never	180.34	imperial	17.833
D.7927	Frank	male	21.5	21.2	right	right	62	right	some	never	184	metric	18.25
E.2817	Jasmine	female	17	17.5	right	right	64	left	some	never	NA	NA	19.167
A.3432	Adam	male	18.5	18.5	right	neither	90	neither	some	never	NA	NA	17.583
D.1710	Joe	male	21	20.7	right	right	90	right	some	never	172.72	imperial	17.5
E.8316	Floyd	male	20.8	21.4	right	right	62	neither	freq	never	175.26	imperial	18.083
A.980	Luis	male	17.8	17.8	right	left	76	neither	freq	never	NA	NA	21.917
E.483	Justin	male	19.5	19.5	right	left	79	right	some	never	167	metric	19.25
B.9425	Gale	female	18.5	18	right	right	76	right	none	occas	NA	NA	41.583
E.2076	Russell	male	18.8	18.2	right	left	78	right	freq	never	180	metric	17.5
E.2588	Lorena	female	17.1	17.5	right	right	72	right	freq	heavy	166.4	imperial	39.75
A.1178	George	male	20.1	20	right	right	70	right	some	never	180	metric	17.167
A.7626	Wayne	male	18	19	right	left	54	neither	some	regul	NA	NA	17.75
C.8506	Nathaniel	male	22.2	21	right	left	66	right	freq	occas	190	metric	18
A.2901	Misty	female	16	16.5	right	left	NA	right	some	never	168	metric	19
C.7070	Fernando	male	19.4	18.5	right	right	72	neither	freq	never	182.5	metric	17.917
D.2669	Ben	male	22	22	right	right	80	right	some	never	185	metric	35.5
C.7812	Mathew	male	19	19	right	right	NA	neither	freq	occas	171	metric	19.917
C.479	Lillie	female	17.5	16	right	left	NA	right	some	never	169	metric	17.5
E.5917	Mona	female	17.8	18	right	right	72	right	some	never	154.94	imperial	17.083
A.4228	Gale	female	20.1	20.2	right	left	80	right	some	never	176.5	imperial	17.5
D.4054	Rafael	male	17	17.5	right	right	NA	neither	freq	never	180.34	imperial	18.5
C.9203	Willard	male	23.2	22.7	right	left	84	left	freq	regul	180	metric	18.917
E.4819	Andrew	male	22.5	23	right	right	96	right	none	never	170	metric	19.417
B.6242	Elnora	female	18	17.6	right	right	60	right	some	occas	168	metric	18.417
C.5303	Jessie	female	18	17.9	right	right	50	left	none	never	165	metric	30.75
C.5470	Dennis	male	22	21.5	left	right	55	left	freq	never	200	metric	18.5
C.3681	Bernard	male	20.5	20	right	left	68	right	freq	never	190	metric	17.5
C.2531	Floyd	male	17	18	right	left	78	left	some	never	170.18	imperial	18.333
C.2647	George	male	20.5	19.5	right	left	56	right	freq	never	179	metric	17.417
B.9404	Wayne	male	22.5	22.5	right	right	65	right	freq	regul	182	metric	20
B.2226	Robert	male	18.5	18.5	right	left	NA	neither	freq	never	171	metric	18.333
C.6539	Matilda	female	15.5	15.4	right	right	70	neither	none	never	157.48	imperial	17.167
B.830	Mathew	male	19.5	19.7	right	right	72	right	freq	never	NA	NA	17.417
E.3577	Clifton	male	19.5	19	right	left	62	right	freq	never	177.8	imperial	17.667
C.1421	Guy	male	20.6	21	left	left	NA	left	freq	occas	175.26	imperial	18.417
D.5413	Felix	male	22.8	23.2	right	right	66	neither	freq	never	187	metric	20.333
C.1719	Lila	female	18.5	18.2	right	right	72	neither	freq	never	167.64	imperial	17.333
A.1456	Johnnie	female	19.6	19.7	right	left	70	right	freq	never	178	metric	17.5
D.5614	Deann	female	18.7	18	left	left	NA	left	none	never	170	metric	19.833
B.2522	Natalia	female	17.3	18	right	left	64	neither	freq	never	164	metric	18.583
